Access,Start time (s),Stop time (s),Duration (s),Scheduled
1,2707,8277,5570,N
2,8521,14091,5570,N
3,14261,19831,5570,N
4,19986,25556,5570,N
5,25756,31326,5570,N
6,31664,37234,5570,N
7,37749,43319,5570,N
8,43768,49338,5570,N
9,49614,55184,5570,N
10,55366,60936,5570,N
11,61090,66660,5570,N
12,66845,72415,5570,N
13,72711,78281,5570,N
14,78765,84335,5570,N
15,84817,90387,5570,N
16,90695,96265,5570,N
17,96462,102032,5570,N
18,102187,107757,5570,N
19,107928,113498,5570,N
20,113757,119327,5570,N
21,119768,125338,5570,N
22,125851,131421,5570,N
23,131771,137341,5570,Y
24,143288,148858,5570,N
25,149021,154591,5570,N
26,154821,160391,5570,N
27,160786,166356,5570,N
28,166875,172445,5570,N
29,172835,178405,5570,N
30,178644,184214,5570,N
31,184381,189951,5570,Y
32,195884,201454,5570,N
33,201800,207370,5570,N
34,207883,213453,5570,N
35,213889,219459,5570,N
36,219727,225297,5570,Y
